Id,Label,timeset,character,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,eigencentrality
131,"1,000억원 이상",,2017,87,5,0.475452,0.655616,1067.698673,2,0.952381
132,500억,,731,79,5,0.456576,0.62663,746.763665,2,0.891885
133,50억,,544,86,5,0.473008,0.651993,966.048836,2,0.958805
134,300억,,455,81,5,0.461153,0.633877,784.889728,2,0.922206
135,"2,000만",,44,32,5,0.370221,0.456341,71.328,2,0.438754
136,100억,,486,78,5,0.454321,0.623007,606.702352,2,0.914759
137,200억,,417,82,5,0.463476,0.6375,835.984032,2,0.927072
138,5억,,251,68,5,0.432941,0.586775,399.482809,2,0.833634
139,"1,000만원 미만",,41,34,5,0.373225,0.463587,82.901571,2,0.4474
140,20억,,557,87,5,0.475452,0.655616,772.537024,2,1
141,1억,,90,53,5,0.404396,0.532428,215.165083,2,0.688649
142,2억,,99,62,5,0.421053,0.565036,323.261547,2,0.779721
143,3억,,172,67,5,0.430913,0.583152,402.045324,2,0.838249
144,분류불능,,45,23,5,0.357282,0.423732,50.76517,2,0.290311
145,"1,000만",,46,30,5,0.367265,0.449094,60.731166,2,0.40585
146,"4,000만",,57,48,5,0.395699,0.514312,183.210664,2,0.612217
147,기타,,1264,18,6,0.396552,0.483514,28.955968,2,0.438427
148,가설공사,,764,18,6,0.396552,0.483514,28.955968,2,0.438427
149,전기설비공사,,234,17,6,0.39485,0.479891,25.22987,2,0.424324
150,철근콘크리트공사,,1562,18,6,0.396552,0.483514,28.955968,2,0.438427
151,건축 토공사,,171,16,6,0.393162,0.476268,23.087178,2,0.399385
152,철골공사,,177,14,6,0.389831,0.469022,13.789422,2,0.38211
153,토공사,,204,17,6,0.39485,0.479891,23.0746,2,0.428922
154,해체 및 철거공사,,370,18,6,0.396552,0.483514,28.955968,2,0.438427
155,관공사,,159,15,6,0.391489,0.472645,17.333271,2,0.394869
156,건축물 부대공사,,117,17,6,0.39485,0.479891,25.22987,2,0.424324
157,방수공사,,36,14,6,0.389831,0.469022,12.915913,2,0.387329
158,미장공사,,131,15,6,0.391489,0.472645,17.18908,2,0.395183
159,하천공사,,54,14,6,0.389831,0.469022,14.442199,2,0.374629
160,조적공사,,73,16,6,0.393162,0.476268,21.475621,2,0.411251
161,수장공사,,171,16,6,0.393162,0.476268,19.349113,2,0.415849
162,타일 및 돌공사,,127,13,6,0.388186,0.465399,12.303197,2,0.358748
163,교량공사,,127,14,6,0.389831,0.469022,14.225822,2,0.379413
164,강구조물공사,,14,7,6,0.368,0.434149,2.850604,2,0.204131
165,창호 및 유리공사,,64,14,6,0.384937,0.464946,16.705998,2,0.360965
166,터널공사,,91,9,6,0.37551,0.445471,6.931304,2,0.236481
167,목공사,,55,16,6,0.393162,0.476268,19.576455,2,0.414819
168,산업설비공사,,96,9,6,0.373984,0.444112,7.051226,2,0.236684
169,도로 및 포장공사,,91,17,6,0.39485,0.479891,23.0746,2,0.428922
170,기계설비공사,,139,15,6,0.391489,0.472645,19.02865,2,0.391615
171,도장공사,,80,17,6,0.39485,0.479891,25.038873,2,0.425354
172,특수 건축물공사,,4,4,6,0.344569,0.404257,0.660404,2,0.115007
173,지붕 및 홈통공사,,26,12,6,0.386555,0.461775,9.619342,2,0.336572
174,지반개량공사,,13,9,6,0.37551,0.445471,6.014711,2,0.251344
175,프리캐스트 콘크리트공사,,3,3,6,0.338235,0.395199,0.351067,2,0.082518
176,항만공사,,34,11,6,0.380165,0.454076,10.194694,2,0.286995
177,금속공사,,45,14,6,0.389831,0.469022,12.915913,2,0.387329
178,댐 및 제방공사,,2,2,6,0.348485,0.403804,0.193299,2,0.061703
179,관공사 부대공사,,40,11,6,0.378601,0.452717,8.45708,2,0.306153
180,말뚝공사,,18,7,6,0.369478,0.435507,2.655892,2,0.209381
181,철도 및 궤도공사,,12,5,6,0.357977,0.420109,1.323325,2,0.147842
182,조경공사,,14,7,6,0.365079,0.431431,2.771121,2,0.196173
183,지정공사,,17,7,6,0.37551,0.440942,3.40362,2,0.209734
184,통신설비공사,,3,2,6,0.340741,0.395652,0.14926,2,0.060647
185,지반조사,,10,8,6,0.373984,0.441848,3.748279,2,0.219714
