Id,Label,timeset,character,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,eigencentrality
120,건축 토공사,,15,8,6,0.35,0.424603,41.547233,2,0.307353
121,도로 및 포장공사,,5,5,6,0.322368,0.386281,10.300714,2,0.191876
122,미장공사,,6,3,6,0.31681,0.37381,5.287866,2,0.132892
123,철근콘크리트공사,,43,11,6,0.356796,0.439909,65.530704,2,0.364575
124,지붕 및 홈통공사,,12,9,6,0.35,0.427438,51.35912,2,0.292335
125,철골공사,,19,5,6,0.315451,0.376984,9.655729,2,0.175882
126,터널공사,,6,4,6,0.311441,0.369841,10.211605,2,0.134931
127,도장공사,,13,7,6,0.343458,0.414966,32.141464,2,0.257545
128,수장공사,,8,6,6,0.326667,0.394218,14.072453,2,0.230786
129,기계설비공사,,11,6,6,0.334091,0.402721,19.294042,2,0.238147
130,조적공사,,4,4,6,0.311441,0.369841,9.155801,2,0.144131
131,건축물 부대공사,,4,4,6,0.322368,0.383447,8.201825,2,0.155781
132,창호 및 유리공사,,8,7,6,0.33871,0.409864,33.67376,2,0.230057
133,지정공사,,2,2,6,0.303719,0.353968,1.831234,2,0.081571
134,교량공사,,6,4,6,0.31681,0.37585,7.585923,2,0.153183
135,하천공사,,3,2,6,0.28937,0.33356,0.786026,2,0.074657
136,관공사 부대공사,,5,4,6,0.281609,0.326531,7.839743,2,0.07091
137,방수공사,,4,4,6,0.302469,0.357143,6.955621,2,0.123435
138,항만공사,,2,2,6,0.310127,0.362472,2.113024,2,0.093976
139,타일 및 돌공사,,4,3,6,0.310127,0.365306,4.245619,2,0.11119
140,조경공사,,1,1,6,0.279468,0.31542,0,2,0.045165
141,강구조물공사,,1,1,6,0.279468,0.31542,0,2,0.045165
142,철도 및 궤도공사,,2,2,6,0.269231,0.300454,0.580586,2,0.04771
143,목공사,,1,1,6,0.2625,0.286508,0,2,0.024309
144,금속공사,,1,1,6,0.28937,0.330726,0,2,0.050446
145,말뚝공사,,1,1,6,0.28937,0.330726,0,2,0.050446
146,산업설비공사,,1,1,6,0.28937,0.330726,0,2,0.050446
147,프리캐스트 콘크리트공사,,1,1,6,0.2625,0.286508,0,2,0.024615
3300%,,,,1,6,0.236334,0.265079,0,0,0.020166
